track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874.0,24,122,282.0,3,368.0,150,42,20,86,21,9,9
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598.0,119,108,254.0,29,22.0,122,78,50,63,27,9,5
505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710.0,30,80,588.0,1,1.0,140,52,20,85,27,7,5
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132.0,31,37,31.0,1,189.0,140,63,22,54,46,12,8
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178.0,24,90,30.0,1,176.0,119,75,48,53,18,18,34
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632.0,3,88,1.0,1,52.0,110,76,96,72,32,9,4
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074.0,7,88,0.0,1,52.0,95,60,17,45,16,11,2
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126.0,82,55,50.0,1,9.0,132,56,20,55,45,32,3
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133.0,250,121,0.0,10,31.0,125,77,74,78,4,23,11
Novo Balanço,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253.0,6,9,26.0,1,66.0,124,84,65,50,67,13,6
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641.0,5,2,30.0,2,66.0,133,93,68,65,42,12,25
Without Me,Eminem,1,2002,1,1,21081,43,1687664027.0,98,76,0.0,5,66.0,112,92,67,66,42,36,9
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388.0,17,29,26.0,3,208.0,97,79,92,89,5,6,5
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552.0,13,8,5.0,3,1.0,90,59,52,48,38,10,11
Ojitos Lindos,Bad Bunny e Bomba Estéreo,2,2022,5,6,6135,38,1133865788.0,71,113,99.0,13,28.0,80,65,27,69,8,53,4
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494.0,107,69,0.0,13,558.0,172,45,33,59,6,8,3
Those Eyes,New West,1,2019,5,10,1507,14,411747614.0,24,71,44.0,1,195.0,120,60,24,35,73,31,3
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395.0,7,71,4.0,2,13.0,140,74,96,80,18,5,5
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544.0,7,76,3.0,1,93.0,128,81,90,77,1,9,5
Bye,Peso Pluma,1,2023,5,26,324,14,95053634.0,13,110,8.0,2,60.0,122,78,70,81,57,10,5
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,1279434863.0,119,81,974.0,1,503.0,130,47,86,92,8,5,24
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632.0,14,88,66.0,3,72.0,160,69,61,71,33,31,20
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984.0,14,88,356.0,3,72.0,144,73,87,70,6,28,5
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275.0,4,14,12.0,5,56.0,192,50,85,52,11,28,6
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532.0,81,121,58.0,1,34.0,163,54,40,67,11,9,17
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183.0,179,97,0.0,11,153.0,122,66,48,71,6,12,4
Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737.0,107,38,95.0,11,153.0,154,61,41,74,21,40,6
Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809.0,133,181,3.0,11,153.0,117,73,31,69,6,11,4
